query,semantics,comment,explanation,text
16014.sql,almost,"The query does not group by the user id, there multiple users with the same display name. The post count does not account for duplicates due to the join with votes, a distinct count should be used.","The query retrieves the top 10 users with more than 1000 reputation, showing their display name, number of posts, and total bounty amount from votes type 8, ordered by the number of posts in descending order.","SELECT u.DisplayName, COUNT(p.Id) AS PostCount, SUM(v.BountyAmount) AS TotalBounty FROM Users u JOIN Posts p ON u.Id = p.OwnerUserId LEFT JOIN Votes v ON p.Id = v.PostId AND v.VoteTypeId = 8 WHERE u.Reputation > 1000 GROUP BY u.DisplayName ORDER BY PostCount DESC LIMIT 10;"
7397.sql,correct,,"The query calculates and compares average views, total comments, total scores, and post counts between the top 10 highest-scoring posts and other posts created in the past year, grouped by post type.","WITH RankedPosts AS ( SELECT p.Id AS PostId, p.Title, p.ViewCount, p.Score, COUNT(c.Id) AS CommentCount, ROW_NUMBER() OVER (PARTITION BY p.PostTypeId ORDER BY p.Score DESC, p.ViewCount DESC) AS Rank FROM Posts p LEFT JOIN Comments c ON p.Id = c.PostId WHERE p.CreationDate >= cast('2024-10-01 12:34:56' as timestamp) - INTERVAL '1 year' GROUP BY p.Id, p.Title, p.ViewCount, p.Score, p.PostTypeId ), TopPosts AS ( SELECT rp.PostId, rp.Title, rp.ViewCount, rp.Score, rp.CommentCount, CASE WHEN rp.Rank <= 10 THEN 'Top 10' ELSE 'Other' END AS RankingCategory FROM RankedPosts rp ) SELECT tp.RankingCategory, AVG(tp.ViewCount) AS AvgViewCount, SUM(tp.CommentCount) AS TotalComments, SUM(tp.Score) AS TotalScore, COUNT(tp.PostId) AS TotalPosts FROM TopPosts tp GROUP BY tp.RankingCategory ORDER BY tp.RankingCategory DESC;"
2724.sql,incorrect,"Incorrect join between postid and userid. The comment count does not account for duplicates due to the join with votes, a distinct count should be used.","The query retrieves the top three highest-scored posts per user with above-average reputation, along with their comment count, average bounty, and the users' badge counts and reputation, sorted by reputation and post score, limited to 10 results.","WITH RankedPosts AS ( SELECT p.Id AS PostId, p.Title, p.CreationDate, p.Score, ROW_NUMBER() OVER (PARTITION BY p.OwnerUserId ORDER BY p.Score DESC) AS ScoreRank, COUNT(c.Id) AS CommentCount, AVG(CASE WHEN v.VoteTypeId = 8 THEN v.BountyAmount ELSE NULL END) AS AvgBounty FROM Posts p LEFT JOIN Comments c ON p.Id = c.PostId LEFT JOIN Votes v ON p.Id = v.PostId GROUP BY p.Id, p.OwnerUserId, p.Title, p.CreationDate, p.Score ), UserStats AS ( SELECT u.Id AS UserId, u.DisplayName, u.Reputation, u.CreationDate, u.LastAccessDate, COALESCE(SUM(CASE WHEN b.Class = 1 THEN 1 ELSE 0 END), 0) AS GoldBadges, COALESCE(SUM(CASE WHEN b.Class = 2 THEN 1 ELSE 0 END), 0) AS SilverBadges, COALESCE(SUM(CASE WHEN b.Class = 3 THEN 1 ELSE 0 END), 0) AS BronzeBadges FROM Users u LEFT JOIN Badges b ON u.Id = b.UserId GROUP BY u.Id, u.DisplayName, u.Reputation, u.CreationDate, u.LastAccessDate ) SELECT us.DisplayName, us.Reputation, rp.Title, rp.Score, rp.CreationDate, rp.CommentCount, us.GoldBadges, us.SilverBadges, us.BronzeBadges, rp.AvgBounty FROM RankedPosts rp JOIN UserStats us ON rp.PostId = us.UserId WHERE rp.ScoreRank <= 3 AND us.Reputation > (SELECT AVG(Reputation) FROM Users WHERE Reputation IS NOT NULL) ORDER BY us.Reputation DESC, rp.Score DESC LIMIT 10;"
19677.sql,correct,,"This query retrieves the top 10 highest-scoring questions along with their author's display name, title, creation date, score, and view count.","SELECT u.DisplayName, p.Title, p.CreationDate, p.Score, p.ViewCount FROM Posts p JOIN Users u ON p.OwnerUserId = u.Id WHERE p.PostTypeId = 1 ORDER BY p.Score DESC LIMIT 10;"
15440.sql,almost,"The comment count does not account for duplicates due to the join with votes, a distinct count should be used. The up vote and down vote count does not account for duplicates due to the join with comments.","The query retrieves the latest 10 questions with their authors, creation dates, titles, and counts of comments, upvotes, and downvotes.","SELECT p.Id AS PostId, p.Title, p.CreationDate, u.DisplayName AS Author, COUNT(c.Id) AS CommentCount, SUM(CASE WHEN v.VoteTypeId = 2 THEN 1 ELSE 0 END) AS UpVoteCount, SUM(CASE WHEN v.VoteTypeId = 3 THEN 1 ELSE 0 END) AS DownVoteCount FROM Posts p JOIN Users u ON p.OwnerUserId = u.Id LEFT JOIN Comments c ON p.Id = c.PostId LEFT JOIN Votes v ON p.Id = v.PostId WHERE p.PostTypeId = 1 GROUP BY p.Id, p.Title, p.CreationDate, u.DisplayName ORDER BY p.CreationDate DESC LIMIT 10;"
9563.sql,correct,,"The query retrieves the top 5 highest-scoring posts by type created within the last year with over 100 views, along with their authors, creation dates, scores, and total upvote and downvote counts.","WITH RankedPosts AS ( SELECT p.Id AS PostId, p.Title, p.Score, p.CreationDate, u.DisplayName AS Author, ROW_NUMBER() OVER (PARTITION BY p.PostTypeId ORDER BY p.Score DESC) as PostRank FROM Posts p JOIN Users u ON p.OwnerUserId = u.Id WHERE p.CreationDate >= cast('2024-10-01 12:34:56' as timestamp) - INTERVAL '1 year' AND p.ViewCount > 100 ), AggregatedVotes AS ( SELECT v.PostId, SUM(CASE WHEN vt.Name = 'UpMod' THEN 1 ELSE 0 END) AS UpVotes, SUM(CASE WHEN vt.Name = 'DownMod' THEN 1 ELSE 0 END) AS DownVotes FROM Votes v JOIN VoteTypes vt ON v.VoteTypeId = vt.Id GROUP BY v.PostId ), TopPosts AS ( SELECT rp.PostId, rp.Title, rp.Score, rp.CreationDate, rp.Author, av.UpVotes, av.DownVotes FROM RankedPosts rp LEFT JOIN AggregatedVotes av ON rp.PostId = av.PostId WHERE rp.PostRank <= 5 ) SELECT tp.Title, tp.Score, tp.CreationDate, tp.Author, COALESCE(tp.UpVotes, 0) AS TotalUpVotes, COALESCE(tp.DownVotes, 0) AS TotalDownVotes FROM TopPosts tp ORDER BY tp.Score DESC, tp.CreationDate DESC;"
26260.sql,correct,,"This query retrieves the top 10 highest-scoring questions with at least one answer, including their details, tags, answer count, upvotes, downvotes, and upvote ratio.","WITH RankedPosts AS ( SELECT p.Id, p.Title, p.CreationDate, p.ViewCount, p.Score, ARRAY_AGG(DISTINCT t.TagName) AS Tags, COUNT(DISTINCT a.Id) AS AnswerCount, ROW_NUMBER() OVER (ORDER BY p.Score DESC, p.ViewCount DESC) AS PostRank FROM Posts p LEFT JOIN Posts a ON p.Id = a.ParentId LEFT JOIN UNNEST(string_to_array(SUBSTRING(p.Tags FROM 2 FOR LENGTH(p.Tags) - 2), '><')) AS tag_name ON TRUE JOIN Tags t ON t.TagName = tag_name WHERE p.PostTypeId = 1 GROUP BY p.Id, p.Title, p.CreationDate, p.ViewCount, p.Score ), FilteredPosts AS ( SELECT rp.*, (SELECT COUNT(*) FROM Votes v WHERE v.PostId = rp.Id AND v.VoteTypeId = 2) AS Upvotes, (SELECT COUNT(*) FROM Votes v WHERE v.PostId = rp.Id AND v.VoteTypeId = 3) AS Downvotes FROM RankedPosts rp WHERE rp.AnswerCount > 0 ) SELECT fp.Id, fp.Title, fp.CreationDate, fp.ViewCount, fp.Score, fp.AnswerCount, fp.Tags, fp.Upvotes, fp.Downvotes, ROUND(COALESCE(fp.Upvotes::FLOAT / NULLIF(fp.Upvotes + fp.Downvotes, 0), 0), 2) AS UpvoteRatio FROM FilteredPosts fp WHERE fp.PostRank <= 10 ORDER BY fp.Score DESC, fp.ViewCount DESC;"
15490.sql,correct,,"This query retrieves the 10 most recent questions along with their titles, creation dates, view counts, scores, and the display names of their owners.","SELECT p.Title, p.CreationDate, p.ViewCount, p.Score, u.DisplayName AS OwnerDisplayName FROM Posts p JOIN Users u ON p.OwnerUserId = u.Id WHERE p.PostTypeId = 1 ORDER BY p.CreationDate DESC LIMIT 10;"
18098.sql,almost,"The comment count does not account for duplicates due to the join with votes, a distinct count should be used. The vote count does not account for duplicates due to the join with comments, a distinct count should be used.","The query retrieves the latest 10 questions with their titles, creation dates, owners' names, and counts of comments and votes.","SELECT p.Id AS PostId, p.Title, p.CreationDate, u.DisplayName AS OwnerDisplayName, COUNT(c.Id) AS CommentCount, COUNT(v.Id) AS VoteCount FROM Posts p JOIN Users u ON p.OwnerUserId = u.Id LEFT JOIN Comments c ON p.Id = c.PostId LEFT JOIN Votes v ON p.Id = v.PostId WHERE p.PostTypeId = 1 GROUP BY p.Id, p.Title, p.CreationDate, u.DisplayName ORDER BY p.CreationDate DESC LIMIT 10;"
12033.sql,correct,,"The query retrieves each user's name along with their total posts, questions, answers, scores, average post views, and badge counts, ordered by highest total score and posts.","WITH UserPostStats AS ( SELECT u.Id AS UserId, COUNT(p.Id) AS TotalPosts, SUM(CASE WHEN p.PostTypeId = 1 THEN 1 ELSE 0 END) AS TotalQuestions, SUM(CASE WHEN p.PostTypeId = 2 THEN 1 ELSE 0 END) AS TotalAnswers, SUM(p.Score) AS TotalScore, AVG(p.ViewCount) AS AvgViewCount FROM Users u LEFT JOIN Posts p ON u.Id = p.OwnerUserId GROUP BY u.Id ), BadgeStats AS ( SELECT b.UserId, COUNT(b.Id) AS TotalBadges, SUM(CASE WHEN b.Class = 1 THEN 1 ELSE 0 END) AS TotalGoldBadges, SUM(CASE WHEN b.Class = 2 THEN 1 ELSE 0 END) AS TotalSilverBadges, SUM(CASE WHEN b.Class = 3 THEN 1 ELSE 0 END) AS TotalBronzeBadges FROM Badges b GROUP BY b.UserId ) SELECT u.DisplayName, ups.TotalPosts, ups.TotalQuestions, ups.TotalAnswers, ups.TotalScore, ups.AvgViewCount, bs.TotalBadges, bs.TotalGoldBadges, bs.TotalSilverBadges, bs.TotalBronzeBadges FROM Users u LEFT JOIN UserPostStats ups ON u.Id = ups.UserId LEFT JOIN BadgeStats bs ON u.Id = bs.UserId ORDER BY ups.TotalScore DESC, ups.TotalPosts DESC;"
